Lane	Stock	JulDate	Fish	Vial	Tray	CatchDate	Year	Contact	SampleName	Comments	Identification	
1	998	194	1	1-1	2970	1982-07-13	1982  	Harding(Joel)	Yukon river retrospective 1982  	**eluted into 150 uL	20170106	
2	998	195	2	1-3	2970	1982-07-14	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
3	998	195	3	1-4	2970	1982-07-14	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
4	998	196	4	1-6	2970	1982-07-15	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
5	998	197	5	1-7	2970	1982-07-16	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
6	998	197	6	1-8	2970	1982-07-16	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
7	998	197	7	1-9	2970	1982-07-16	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
8	998	197	8	1-11	2970	1982-07-16	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
9	998	200	9	1-17	2970	1982-07-19	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
10	998	200	10	1-19	2970	1982-07-19	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
11	998	200	11	1-20	2970	1982-07-19	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
12	998	200	12	1-23	2970	1982-07-19	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
13	998	200	13	1-24	2970	1982-07-19	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
14	998	196	14	1-5	2970	1982-07-15	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
15	998	197	15	1-10	2970	1982-07-16	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
16	998	198	16	1-14	2970	1982-07-17	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
17	998	198	17	1-15	2970	1982-07-17	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
18	998	200	18	2-2	2970	1982-07-19	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
19	998	200	19	2-3	2970	1982-07-19	1982  	Harding(Joel)	Yukon river retrospective 1982  		20170106	
